	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	GATA-1	GATA-2	PU.1	SCL	Bra	Flk-1	BMP4	Runx1	VE-cadherin	c-myb	NF+E2	c-kit	EKLF	EpoR	Fli-1	tr28	tr29	tr30	tr31	tr32	tr33
f11	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
f12	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA-1	0	1	-2	-1	-1	0	-1	0	-1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	2	2	2	0
GATA-2	-2	-1	2	1	1	0	-1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2
PU.1	-2	-1	-2	-1	-1	2	1	2	1	0	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SCL	0	1	2	1	1	0	-1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bra	2	1	0	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flk-1	0	1	0	1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0	0	0
BMP4	2	1	0	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runx1	-2	-1	0	-1	1	2	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
VE-cadherin	-2	-1	0	1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0
c-myb	-2	-1	-2	-1	1	2	1	2	1	0	-1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
NF+E2	-2	-1	-2	-1	-1	-2	-1	0	-1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
c-kit	-2	-1	-2	-1	-1	0	-1	0	-1	0	-1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2
EKLF	-2	-1	-2	-1	-1	-2	-1	0	-1	0	-1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
EpoR	-2	-1	-2	-1	-1	-2	-1	-2	-1	0	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Fli-1	-2	-1	-2	-1	-1	-2	-1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0
tr28	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr29	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr30	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr31	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr32	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr33	-2	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
